model,variable,right_coding,explanation
NK_AFL15,CB_Authors,True (66.7%),"True — 66.7% (2 of 3 authors). On p. 285, the paper lists Ignazio Angeloni and Marco Lo Duca with European Central Bank affiliation, while Ester Faia is listed at Goethe University Frankfurt/CFS/SAFE. External checks confirm Angeloni held Bank of Italy/ECB roles and Lo Duca has worked at the ECB since 2004; Faia's ECB consulting is not counted as central-bank staff employment."
NK_AFL15,Tax,False,"Taxes are only lump-sum transfers: T_t is defined as net transfers to the public sector equal to public expenditures on p. 292, and G_t is financed by lump-sum taxes on p. 297; there is no distortionary tax wedge or tax rule with independent equilibrium effects."
NK_AFL15,Lagged_Terms,True,"The model has nontrivial lagged state dependence: the household budget constraint includes last period's deposits D_t-1 on p. 292, bank capital accumulates from lagged bank capital on p. 295, and capital accumulation is part of the equilibrium system on p. 297."
NK_AFL15,Sticky_Price_Sector,Intermediate Goods Firms,"Section 5.4 is titled Intermediate good producers and says each intermediate-good firm has monopolistic power over its own variety and faces quadratic price adjustment costs, p. 296."
NK_BGUS10,Rational_Expectations,True,"The model is solved with model-consistent forward-looking expectations: inflation and tightness equations contain E_t terms, and the paper says inflation is forward-looking through dependence on current and future productivity on p. 15."
NK_BGUS10,Lagged_Terms,True,"Lagged terms matter through employment/unemployment dynamics: labor-market tightness depends on current and lagged employment on p. 14, and under strict inflation targeting unemployment follows u_t = b u_t-1 - c gamma a_t, giving intrinsic unemployment persistence on pp. 17-18."
NK_BGUS10,Sticky_Wage_Method,Other,"The wage rigidity is imposed directly as a reduced-form real wage schedule W_t = Theta A_t^(1-gamma), where gamma indexes real wage rigidity; it is not Calvo, Rotemberg, wage contracting, or Nash bargaining, though gamma = 0 nests the Nash-bargained wage benchmark and gamma = 1 gives a rigid real wage; see pp. 11-12."
NK_BGEU10,CB_Authors,False (0%),"Prior to the 2010 publication, no author had qualifying central-bank employment/officer/staff work under the rule that consultancies do not count. Page 1 lists Olivier Blanchard and Jordi Gali with academic/NBER/CEPR affiliations; the evidence found for Gali was central-bank consulting/visitor/adviser roles rather than central-bank employment, and Blanchard's CV lists MIT/PIIE and IMF roles but no central-bank employment."
NK_BGEU10,Rational_Expectations,True,"The model uses rational/model-consistent expectations: the log-linearized Phillips curve contains E_t{pi_t+1}, and the authors solve the optimal-policy system using standard linear stochastic difference-equation methods; see the forward-looking inflation equation on p. 14 and the optimal-policy solution discussion on p. 19."
NK_BGEU10,Sticky_Wage_Method,Other,"The sticky-wage element is reduced-form real wage rigidity, not Calvo/Rotemberg/contracting: on p. 11 they impose W_t = Theta A_t^(1-gamma), with gamma in [0,1] indexing the degree of real wage rigidity."
NK_BGG99,CB_Authors,True (33.3%),"True — 33.3% (1 of 3 authors) before the 1999 publication under the rule that consultancies do not count. The paper lists Bernanke, Gertler, and Gilchrist on p. 1341; Gilchrist was a Federal Reserve Board staff economist before publication, Bernanke's Fed Governor/Chair roles came after 1999, and Gertler's cited central-bank connection was consulting/advisory work and is not counted."
NK_BGG99,Tax,False,Taxes appear only as lump-sum taxes in the household budget constraint on p. 1387 and as part of government financing on p. 1389; there is no distortionary tax wedge or tax rule that independently affects equilibrium allocation.
NK_BGG99,Rational_Expectations,True,"The model is a conventional DNK framework with forward-looking private-sector behavior; on p. 1364 the Phillips curve uses expected future inflation, reflecting the forward-looking nature of price setting, which is the rational-expectations structure rather than adaptive learning."
NK_BGG99,Lagged_Terms,True,"The model explicitly includes lag structure: the authors state on p. 1342 that they allow for lags in investment, and on p. 1365 they say this lets the model generate hump-shaped output dynamics and a lead-lag relation between asset prices and investment."
NK_BGG99,Sticky_Price_Sector,Final Goods Firms,"Sticky prices apply at the retail/final-goods level: entrepreneurs produce wholesale goods competitively, while retailers differentiate wholesale output, sell final usable goods under monopolistic competition, and face Calvo price adjustment on pp. 1360-1361 and 1388-1389."
NK_BGG99,Published,False,"It was published as a chapter in the Handbook of Macroeconomics, Volume 1 by Elsevier, not as an academic journal article; the chapter title and handbook publication information appear on p. 1341."
NK_CFP10,Rational_Expectations,True,"The model is solved under model-consistent/rational expectations: the household Fisher equation and asset-pricing equation are written with E_t, explicitly defined as the expectations operator on p. 41."
NK_CFP10,Lagged_Terms,True,"The model has nontrivial endogenous lagged state dependence through entrepreneurial equity/net worth: equation (25) has e_t depending on e_t-1, and the authors state that equations (25)-(26) track the dynamic behavior of entrepreneurial wealth and the agency-cost distortion; see p. 46."
NK_CGG02,Gov_Spend,False,"The model has lump-sum taxes in the household budget and a steady-state subsidy/tax choice used to offset markup distortions, but there is no government-spending process or G_t term entering goods-market clearing/equilibrium demand; see the household budget on p. 5 and the fiscal-authority subsidy setup on p. 16."
NK_CGG02,Rational_Expectations,True,"The model is solved under model-consistent forward-looking expectations: households maximize expected discounted utility on p. 5, and the log-linear equilibrium uses E_t expectations in the consumption Euler equation, IS curve, and Phillips curve on pp. 14-15."
NK_CGG02,Lagged_Terms,True,"The structural IS and Phillips curves are forward-looking, but the model includes a nontrivial lagged state through the cost-push shock process u_t = rho u_t-1 + epsilon_t on p. 15, and that persistence enters the equilibrium solution for inflation/output through psi = [(1 - beta rho) + lambda xi]^-1 on p. 17."
NK_CGG02,Price_Indexation,False,"The price-setting block is plain Calvo: firms that cannot reset keep their price fixed, and the Phillips curve is pi_t = delta mc_t + beta E_t pi_t+1, with no lagged-inflation/indexation term."
NK_CGG02,Working_Paper,False,"It was not only a working paper: the uploaded version is NBER Working Paper No. 8870, April 2002 on p. 1, but the paper was also published in the Journal of Monetary Economics, vol. 49, issue 5, pp. 879-904, in 2002."
NK_CGG02,Published,True,"It was published in an academic journal: Journal of Monetary Economics, vol. 49, issue 5, pp. 879-904, in 2002; the uploaded paper itself is the NBER working-paper version dated April 2002 on p. 1."
NK_CGG02,Calibrated,False,The paper is solved analytically rather than calibrated; the authors say the model is sufficiently tractable to solve analytically on p. 1 and later state that a serious model calibration is beyond the scope of the paper on p. 25.
NK_CGG99,Tax,False,"Taxes are not modeled as a nontrivial fiscal instrument or equilibrium channel in the baseline model; they are only mentioned as a possible distortion that could make the welfare-maximizing output level exceed the natural level, not as tax rates entering household/firm conditions or government budget dynamics; see pp. 1665 and 1669."
NK_CGG99,Sticky_Price_Sector,Other,"The paper does not introduce a final/intermediate-goods production chain; sticky pricing comes from monopolistically competitive firms that choose nominal prices subject to staggered adjustment, generating the aggregate Phillips curve; see p. 1666."
NK_CGG99,Calibrated,False,"The paper presents a stripped-down baseline model to derive policy principles, and Section 2 gives the model analytically rather than assigning numerical parameter values or matching moments; later quantitative discussion concerns estimated policy rules, not calibration of the baseline model. See pp. 1662 and 1664-1667."
NK_CK08,Tax,False,"The model has lump-sum taxes in the household budget constraint and government budget constraint, but they only finance unemployment benefits, debt, and exogenous government spending; there is no distortionary labor/capital/consumption tax wedge or tax rule that independently affects equilibrium allocations on pp. 868 and 871."
NK_CK08,Gov_Debt,False,"The model includes one-period nominal government bonds in the household budget constraint on p. 868 and the government budget constraint on p. 871, but debt is only a Ricardian financing/asset device with lump-sum taxes; there is no nontrivial public-debt stock, debt feedback rule, maturity structure, fiscal-risk channel, or debt-driven equilibrium effect."
NK_CK08,Lagged_Terms,True,"The model has nontrivial lagged state dependence through external habit in consumption on p. 867, employment law of motion using lagged employment and matches, Calvo wage contracts tied to previous wages, and an interest-rate rule with lagged R_t and lagged year-on-year inflation on p. 871."
NK_CK08,Sticky_Price_Sector,Intermediate Goods Firms,"Sticky prices apply in the wholesale sector, which corresponds to differentiated intermediate-goods producers: on p. 869, wholesale firms face Calvo price-setting frictions, while final-good retailers aggregate wholesale goods competitively."
NK_CK08,Sticky_Wage_Method,Calvo,"The sticky wage friction is Calvo-style: only with probability 1 - gamma can a firm-worker pair rebargain its hourly nominal wage in a given period; the reset wage is determined through right-to-manage bargaining, but the stickiness mechanism itself is Calvo on p. 871."
NK_CKL09,Tax,False,"Taxes appear only as lump-sum taxes in the household and government budget constraints on pp. 910 and 915, with the government generating revenue from lump-sum taxes; there is no distortionary tax rate, tax rule, or tax shock that independently changes equilibrium allocations."
NK_CKL09,Gov_Debt,False,"The model includes one-period nominal government debt in the household budget constraint on p. 910 and the government budget constraint on p. 914, but it is only a Ricardian financing device for lump-sum taxes/benefits/spending, not a debt channel that independently affects equilibrium allocations."
NK_CKL09,Price_Index_Coverage,Partial,"Price indexation applies only to non-reoptimizing wholesale firms and is partial: non-reset prices are adjusted by a combination of lagged inflation and steady-state inflation with an indexation parameter x_p in [0,1], not full indexation; see p. 912."
NK_CKL09,Wage_Index_Coverage,Partial,"Wage indexation applies only to wage contracts that are not renegotiated, and the indexation parameter x_w allows only partial adjustment to inflation rather than full wage updating; see p. 913."
NK_CKL09,Estimated,True,"The paper states in the abstract and again on p. 922 that the authors estimate the model using Bayesian techniques, with an estimation sample of 1984Q1–2006Q4 reported on p. 924."
NK_CW09,Lagged_Terms,True,"The model has nontrivial lagged state variables, including price dispersion evolving as Delta_t = h(Delta_{t-1}, Pi_t) under Calvo pricing and debt/borrowing state variables such as b_{t-1}; the paper notes the NK block is purely forward-looking on p. 21 but the financial/debt state variables are genuinely dynamic. See p. 14 and p. 21."
