model,variable,right_coding,explanation
G2_SIGMA08,Wage_Indexation,True,Households that cannot reset nominal wages mechanically index wages to lagged aggregate wage inflation; see p. 2630.
G2_SIGMA08,Wage_Index_Method,Prev Wage Inflation,Non-resetting households index nominal wages to lagged aggregate wage inflation; see p. 2630.
G2_SIGMA08,Wage_Index_Coverage,Full,"Among households that cannot reoptimize wages, indexation to lagged aggregate wage inflation applies without an additional partial-indexation subset; see p. 2630."
G3_CW03,Sticky_Price_Sector,Other,"Other. The paper’s supply-side nominal rigidity is written as staggered contract wage / inflation equations, not as a sectoral firm-pricing block; for the Taylor-style microfoundation it notes nominal rigidity can be interpreted as occurring in intermediate goods markets, but the final model also uses Fuhrer-Moore contracts for the U.S., so the clean sector code is Other; cite pp. 12–13. Coenen and Wieland - 2002 - Inf…"
G3_CW03,Date_Pub,2002,"September 2002. The model was published as ECB Working Paper No. 181, with the cover page dated September 2002; cite paper p. 1. Coenen and Wieland - 2002 - Inf…"
G7_TAY93,Sticky_Price_Sector,Other,"Other. Sticky prices apply to the model’s aggregate output-price, import-price, and export-price equations for each country, not to a modern final/intermediate-goods firm sector split; Taylor describes aggregate prices as markups over wage and import costs with slow adjustment on p. 68 and gives the aggregate price equation around p. 79. Taylor 1993 Book Chapter 3"
G7_TAY93,Published,false,"False — It was published as Chapter 3 of Taylor’s 1993 book, not as an academic journal article; the chapter begins on p. 67. Taylor 1993 Book Chapter 3"
G7_TAY93,Est_Date_Range_Start,1971,"1971:3 — Most estimated equation tables report samples beginning in 71.3, e.g. the fixed-investment equations on p. 90. Taylor 1993 Book Chapter 3"
NK_AFL15,CB_Authors,66.7,"True — 2 of 3 authors, or 66.7%. The paper’s first page, p. 285, lists Ignazio Angeloni and Marco Lo Duca with ECB affiliations and Ester Faia with Goethe/CFS/SAFE; external bios show Angeloni previously held senior roles at the Bank of Italy and ECB, and Lo Duca joined the ECB in 2004, while Faia’s public profile shows academic affiliations rather than qualifying central-bank employment. Angeloni et al. - 2015 - Moneta… iep.unibocconi.eu +2 ecb.europa.eu +2"
NK_AFL15,Gov_Spend,false,"False. Government spending is not a substantive equilibrium object in the model; the paper’s macro block is built around banks’ funding choice, run risk, monetary policy, and a conventional real sector, with no fiscal-spending channel in the model setup on pp. 290–291. Angeloni et al. - 2015 - Moneta…"
